symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
SBIN,SBINEQN, DIVIDEND - RS 4 PER SHARE,510.1,-2.8500000000000227,-0.5556097085485959,512.95,40695,20758519.5,1968488179137.08,549.0,321.3,510.1,https://static.nseindia.com/sparklines/today/preOpen_SBINEQN.jpg
TITAN,TITANEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,2479.3,-13.899999999999636,-0.5575164447296501,2493.2,2177,5397436.1,1040311373432.64,2687.25,1396.0,2479.3,https://static.nseindia.com/sparklines/today/preOpen_TITANEQN.jpg
ADANIPORTS,ADANIPORTSEQN, DIVIDEND - RS 5 PER SH,729.9,-4.300000000000068,-0.5856714791610008,734.2,4988,3640741.2,539659491453.43,901.0,628.65,729.9,https://static.nseindia.com/sparklines/today/preOpen_ADANIPORTSEQN.jpg
M&M,M&MEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 8.75 PER SHARE,857.2,-5.0499999999999545,-0.5856770078283507,862.25,3206,2748183.2,825395933719.28,979.0,724.65,857.2,https://static.nseindia.com/sparklines/today/preOpen_M&MEQN.jpg
HINDUNILVR,HINDUNILVREQN, INTERIM DIVIDEND - RS 15 PER SHARE,2294.0,-13.550000000000182,-0.5872028775107877,2307.55,4021,9224174.0,2060283740318.68,2859.3,2120.0,2294.0,https://static.nseindia.com/sparklines/today/preOpen_HINDUNILVREQN.jpg
INDUSINDBK,INDUSINDBKEQN, DIVIDEND - RS 5 PER SHARE,950.0,-5.7999999999999545,-0.6068215107763083,955.8,3743,3555850.0,621863385987.82,1242.0,811.0,950.0,https://static.nseindia.com/sparklines/today/preOpen_INDUSINDBKEQN.jpg
TECHM,TECHMEQN, SPECIAL DIVIDEND - RS 15 PER SHARE,1438.45,-9.099999999999909,-0.6286484059272501,1447.55,2031,2921491.95,899034649624.8,1838.0,915.0,1438.45,https://static.nseindia.com/sparklines/today/preOpen_TECHMEQN.jpg
TATACONSUM,TATACONSUMEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 4.05 PER SHARE,715.6,-4.75,-0.6594016797390158,720.35,6506,4655693.6,431495855635.16,889.0,577.05,715.6,https://static.nseindia.com/sparklines/today/preOpen_TATACONSUMEQN.jpg
BHARTIARTL,BHARTIARTLEQN, RIGHTS 1:14 @ PREMIUM RS 530/-,712.05,-4.9500000000000455,-0.6903765690376633,717.0,6588,4690985.4,1693246926997.08,781.8,494.6,712.05,https://static.nseindia.com/sparklines/today/preOpen_BHARTIARTLEQN.jpg
EICHERMOT,EICHERMOTEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 17 PER SHARE,2703.2,-19.550000000000182,-0.7180240565604694,2722.75,649,1754376.8,379659228676.76,2994.0,2303.7,2703.2,https://static.nseindia.com/sparklines/today/preOpen_EICHERMOTEQN.jpg
BAJAJFINSV,BAJAJFINSVEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,16061.0,-120.20000000000073,-0.7428373668207594,16181.2,535,8592635.0,978513227364.06,19325.0,8960.05,16061.0,https://static.nseindia.com/sparklines/today/preOpen_BAJAJFINSVEQN.jpg
NESTLEIND,NESTLEINDEQN, INTERIM DIVIDEND - RS 110 PER SHARE,17988.0,-138.0,-0.7613373055279709,18126.0,364,6547632.0,646623569239.92,20609.15,16002.1,17988.0,https://static.nseindia.com/sparklines/today/preOpen_NESTLEINDEQN.jpg
INFY,INFYEQN, INTERIM DIVIDEND - RS 15 PER SH,1710.0,-14.799999999999955,-0.8580705009276413,1724.8,15018,25680780.0,6394592523469.92,1953.9,1244.75,1710.0,https://static.nseindia.com/sparklines/today/preOpen_INFYEQN.jpg
HCLTECH,HCLTECHEQN,INTERIM DIVIDEND - RS 10 PER SHARE,1152.85,-10.200000000000045,-0.8770044280125572,1163.05,4083,4707086.55,1262451275961.12,1377.75,891.0,1152.85,https://static.nseindia.com/sparklines/today/preOpen_HCLTECHEQN.jpg
BAJFINANCE,BAJFINANCEEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 10 PER SHARE,7020.0,-62.44999999999982,-0.8817570191106159,7082.45,2945,20673900.0,1880967778247.91,8050.0,4362.0,7020.0,https://static.nseindia.com/sparklines/today/preOpen_BAJFINANCEEQN.jpg
ASIANPAINT,ASIANPAINTEQN, INTERIM DIVIDEND - RS 3.65 PER SHARE,3236.15,-29.699999999999818,-0.9094110262259387,3265.85,2433,7873552.95,1472320168161.61,3590.0,2260.0,3236.15,https://static.nseindia.com/sparklines/today/preOpen_ASIANPAINTEQN.jpg
WIPRO,WIPROEQN,INTERIM DIVIDEND - RE 1 PER SHARE,559.0,-5.899999999999977,-1.04443264294565,564.9,35480,19833320.0,836021759191.35,739.85,397.75,559.0,https://static.nseindia.com/sparklines/today/preOpen_WIPROEQN.jpg
